,team,home_tol,home_win,home_lose,away_tol,away_win,away_lose,pyhta_rate_tol,pyhta_rate_home,pyhta_rate_away,diff_tol,diff_home,diff_away,win_type,win_rate,pyhta_rate,diff_rate
65,San Jose State,25,8,17,31,5,26,0.27704918,0.327087024,0.241736262,-0.044906323,-0.007087024,-0.08044594,wrate_home,0.32,0.327087024,-0.007087024
66,San Jose State,25,8,17,31,5,26,0.27704918,0.327087024,0.241736262,-0.044906323,-0.007087024,-0.08044594,wrate_away,0.161290323,0.241736262,-0.08044594
67,Arkansas,33,11,22,22,6,16,0.352683599,0.427900778,0.244799421,-0.04359269,-0.094567445,0.027927852,wrate_tol,0.309090909,0.352683599,-0.04359269
68,Arkansas,33,11,22,22,6,16,0.352683599,0.427900778,0.244799421,-0.04359269,-0.094567445,0.027927852,wrate_home,0.333333333,0.427900778,-0.094567445
69,Arkansas,33,11,22,22,6,16,0.352683599,0.427900778,0.244799421,-0.04359269,-0.094567445,0.027927852,wrate_away,0.272727273,0.244799421,0.027927852
70,Baylor,29,15,14,28,14,14,0.551566689,0.569378364,0.532969296,-0.042794759,-0.052136984,-0.032969296,wrate_tol,0.50877193,0.551566689,-0.042794759
71,Baylor,29,15,14,28,14,14,0.551566689,0.569378364,0.532969296,-0.042794759,-0.052136984,-0.032969296,wrate_home,0.517241379,0.569378364,-0.052136984
72,Baylor,29,15,14,28,14,14,0.551566689,0.569378364,0.532969296,-0.042794759,-0.052136984,-0.032969296,wrate_away,0.5,0.532969296,-0.032969296
73,Arizona,28,13,15,27,7,20,0.405783997,0.502234626,0.316820227,-0.042147633,-0.037948911,-0.057560968,wrate_tol,0.363636364,0.405783997,-0.042147633
74,Arizona,28,13,15,27,7,20,0.405783997,0.502234626,0.316820227,-0.042147633,-0.037948911,-0.057560968,wrate_home,0.464285714,0.502234626,-0.037948911
75,Arizona,28,13,15,27,7,20,0.405783997,0.502234626,0.316820227,-0.042147633,-0.037948911,-0.057560968,wrate_away,0.259259259,0.316820227,-0.057560968
76,Florida Atlantic,28,14,14,30,13,17,0.505707577,0.541026602,0.47577819,-0.040190335,-0.041026602,-0.042444856,wrate_tol,0.465517241,0.505707577,-0.040190335
77,Florida Atlantic,28,14,14,30,13,17,0.505707577,0.541026602,0.47577819,-0.040190335,-0.041026602,-0.042444856,wrate_home,0.5,0.541026602,-0.041026602
78,Florida Atlantic,28,14,14,30,13,17,0.505707577,0.541026602,0.47577819,-0.040190335,-0.041026602,-0.042444856,wrate_away,0.433333333,0.47577819,-0.042444856
79,Utah State,25,16,9,30,11,19,0.530702412,0.629485614,0.440088177,-0.039793321,0.010514386,-0.073421511,wrate_tol,0.490909091,0.530702412,-0.039793321
80,Utah State,25,16,9,30,11,19,0.530702412,0.629485614,0.440088177,-0.039793321,0.010514386,-0.073421511,wrate_home,0.64,0.629485614,0.010514386
81,Utah State,25,16,9,30,11,19,0.530702412,0.629485614,0.440088177,-0.039793321,0.010514386,-0.073421511,wrate_away,0.366666667,0.440088177,-0.073421511
82,Nebraska,34,18,16,25,8,17,0.479206186,0.535818905,0.409134667,-0.03852822,-0.00640714,-0.089134667,wrate_tol,0.440677966,0.479206186,-0.03852822
83,Nebraska,34,18,16,25,8,17,0.479206186,0.535818905,0.409134667,-0.03852822,-0.00640714,-0.089134667,wrate_home,0.529411765,0.535818905,-0.00640714
84,Nebraska,34,18,16,25,8,17,0.479206186,0.535818905,0.409134667,-0.03852822,-0.00640714,-0.089134667,wrate_away,0.32,0.409134667,-0.089134667
85,Georgia Tech,29,15,14,25,7,18,0.443826266,0.502631561,0.384607891,-0.036418858,0.014609819,-0.104607891,wrate_tol,0.407407407,0.443826266,-0.036418858
86,Georgia Tech,29,15,14,25,7,18,0.443826266,0.502631561,0.384607891,-0.036418858,0.014609819,-0.104607891,wrate_home,0.517241379,0.502631561,0.014609819
87,Georgia Tech,29,15,14,25,7,18,0.443826266,0.502631561,0.384607891,-0.036418858,0.014609819,-0.104607891,wrate_away,0.28,0.384607891,-0.104607891
88,Mississippi State,29,17,12,26,13,13,0.580331749,0.662575538,0.490071901,-0.034877203,-0.076368641,0.009928099,wrate_tol,0.545454545,0.580331749,-0.034877203
89,Mississippi State,29,17,12,26,13,13,0.580331749,0.662575538,0.490071901,-0.034877203,-0.076368641,0.009928099,wrate_home,0.586206897,0.662575538,-0.076368641
90,Mississippi State,29,17,12,26,13,13,0.580331749,0.662575538,0.490071901,-0.034877203,-0.076368641,0.009928099,wrate_away,0.5,0.490071901,0.009928099
91,Eastern Michigan,25,9,16,32,14,18,0.438068026,0.426196308,0.446733197,-0.034559254,-0.066196308,-0.009233197,wrate_tol,0.403508772,0.438068026,-0.034559254
92,Eastern Michigan,25,9,16,32,14,18,0.438068026,0.426196308,0.446733197,-0.034559254,-0.066196308,-0.009233197,wrate_home,0.36,0.426196308,-0.066196308
93,Eastern Michigan,25,9,16,32,14,18,0.438068026,0.426196308,0.446733197,-0.034559254,-0.066196308,-0.009233197,wrate_away,0.4375,0.446733197,-0.009233197
94,New Mexico State,23,9,14,35,6,29,0.290691408,0.418835415,0.22506123,-0.032070719,-0.027531067,-0.053632659,wrate_tol,0.25862069,0.290691408,-0.032070719
95,New Mexico State,23,9,14,35,6,29,0.290691408,0.418835415,0.22506123,-0.032070719,-0.027531067,-0.053632659,wrate_home,0.391304348,0.418835415,-0.027531067
96,New Mexico State,23,9,14,35,6,29,0.290691408,0.418835415,0.22506123,-0.032070719,-0.027531067,-0.053632659,wrate_away,0.171428571,0.22506123,-0.053632659
97,UCLA,31,17,14,29,8,21,0.445716463,0.494681002,0.393110449,-0.029049796,0.053706095,-0.11724838,wrate_tol,0.416666667,0.445716463,-0.029049796
98,UCLA,31,17,14,29,8,21,0.445716463,0.494681002,0.393110449,-0.029049796,0.053706095,-0.11724838,wrate_home,0.548387097,0.494681002,0.053706095
99,UCLA,31,17,14,29,8,21,0.445716463,0.494681002,0.393110449,-0.029049796,0.053706095,-0.11724838,wrate_away,0.275862069,0.393110449,-0.11724838
100,Michigan,35,30,5,25,16,9,0.79456745,0.866647267,0.66628561,-0.027900784,-0.00950441,-0.02628561,wrate_tol,0.766666667,0.79456745,-0.027900784
101,Michigan,35,30,5,25,16,9,0.79456745,0.866647267,0.66628561,-0.027900784,-0.00950441,-0.02628561,wrate_home,0.857142857,0.866647267,-0.00950441
102,Michigan,35,30,5,25,16,9,0.79456745,0.866647267,0.66628561,-0.027900784,-0.00950441,-0.02628561,wrate_away,0.64,0.66628561,-0.02628561
103,Texas,33,21,12,28,11,17,0.552281318,0.63327335,0.445777763,-0.027691154,0.003090287,-0.05292062,wrate_tol,0.524590164,0.552281318,-0.027691154
104,Texas,33,21,12,28,11,17,0.552281318,0.63327335,0.445777763,-0.027691154,0.003090287,-0.05292062,wrate_home,0.636363636,0.63327335,0.003090287
105,Texas,33,21,12,28,11,17,0.552281318,0.63327335,0.445777763,-0.027691154,0.003090287,-0.05292062,wrate_away,0.392857143,0.445777763,-0.05292062
106,Ohio,26,17,9,30,16,14,0.616178013,0.681132075,0.554300127,-0.026892299,-0.027285922,-0.020966793,wrate_tol,0.589285714,0.616178013,-0.026892299
107,Ohio,26,17,9,30,16,14,0.616178013,0.681132075,0.554300127,-0.026892299,-0.027285922,-0.020966793,wrate_home,0.653846154,0.681132075,-0.027285922
108,Ohio,26,17,9,30,16,14,0.616178013,0.681132075,0.554300127,-0.026892299,-0.027285922,-0.020966793,wrate_away,0.533333333,0.554300127,-0.020966793
109,New Mexico,26,10,16,29,8,21,0.352699742,0.427729371,0.277652088,-0.025427015,-0.043113987,-0.001790019,wrate_tol,0.327272727,0.352699742,-0.025427015
110,New Mexico,26,10,16,29,8,21,0.352699742,0.427729371,0.277652088,-0.025427015,-0.043113987,-0.001790019,wrate_home,0.384615385,0.427729371,-0.043113987
111,New Mexico,26,10,16,29,8,21,0.352699742,0.427729371,0.277652088,-0.025427015,-0.043113987,-0.001790019,wrate_away,0.275862069,0.277652088,-0.001790019
